央视频道,#genre#
CCTV1,http://207.56.13.146:81/cdnlive/cctv1.m3u8
CCTV1,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv12
CCTV风云足球,http://111.61.236.247:9081/hls/58/index.m3u8
CCTV1,http://207.56.13.146:81/cdnlive/cctv13.m3u8
CCTV8,http://207.56.13.146:81/cdnlive/cctv8.m3u8
CCTV7,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv7
CCTV9,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv9
CCTV1,http://120.76.248.139/live/bfgd/4200000204.m3u8
CCTV4,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv4
CCTV-高尔夫网球,http://207.56.13.146:81/cdnlive/gefwq.m3u8
CCTV5,http://207.56.13.146:81/cdnlive/cctv5.m3u8
CCTV-9纪录,http://207.56.13.146:81/cdnlive/cctv9.m3u8
CCTV1,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv16
CCTV-世界地理,http://107.150.60.122/live/sjdl.m3u8
CCTV-怀旧剧场,http://207.56.13.146:81/cdnlive/hjjc.m3u8
CCTV1,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv17
CCTV-卫生健康,http://207.56.13.146:81/cdnlive/wsjk.m3u8
CCTV-兵器科技,http://207.56.13.146:81/cdnlive/gfjs.m3u8
CCTV8,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv8
CCTV1,http://207.56.13.146:81/cdnlive/cctv11.m3u8
CCTV6,http://207.56.13.146:81/cdnlive/cctv6.m3u8
CCTV-7国防军事,http://207.56.13.146:81/cdnlive/cctv7.m3u8
CCTV-高尔夫网球,http://107.150.60.122/live/gefwq.m3u8
CCTV2,http://107.150.60.122/live/cctv2hd.m3u8
CCTV1,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv10
CCTV2,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv2
CCTV1,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv15
CCTV1,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv11
CCTV5,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv5p
CCTV6,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv6
CCTV1,http://cdn6.163189.xyz/163189/cctv1
CCTV1,http://207.56.13.146:81/cdnlive/cctv15.m3u8
CCTV1,http://207.56.13.146:81/cdnlive/cctv10.m3u8
CCTV-世界地理,http://207.56.13.146:81/cdnlive/sjdl.m3u8
CCTV5,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv5
CCTV3,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv3
CCTV-女性时尚,http://207.56.13.146:81/cdnlive/nxss.m3u8
CCTV1,http://207.56.13.146:81/cdnlive/cctv14.m3u8
CCTV-第一剧场,http://207.56.13.146:81/cdnlive/dyjc.m3u8
CCTV-央视文化精品,http://207.56.13.146:81/cdnlive/ysjp.m3u8
CCTV1,http://207.56.13.146:81/cdnlive/cctv12.m3u8
CCTV3,http://207.56.13.146:81/cdnlive/cctv3.m3u8
CCTV5,http://124.223.82.228:89/641886773
CCTV1,http://124.77.202.8:49155/608807423
CCTV4,http://124.77.202.8:49155/608807416
CCTV4,http://124.77.202.8:49155/608807419
